=======================================
Testing Minimized Seeds (723 tests)
=======================================

Step 1: Copying team files...
Step 2: Building Rust binary...
Step 3: Running JavaScript battles...
Step 4: Running Rust battles...
Step 5: Copying results...

Step 6: Comparing results...

Seed 3149: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Palafin(226/262)], P2=[Zygarde(334/334)]
Seed 3153: ✗ FAIL - #1: turn=1, prng=0->0, P1=[Omastar(264/264)], P2=[Delphox(203/203)]
Seed 3162: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Wishiwashi(200/210)], P2=[Alcremie(142/193)]
Seed 3163: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Ho-Oh(185/305)], P2=[Pokestar Humanoid(305/362)]
Seed 3165: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Miraidon(263/284)], P2=[Iron Bundle(152/178)]
Seed 3179: ✗ FAIL - #9: turn=10, prng=16->19, P1=[Corviknight(204/217)], P2=[Croconaw(238/238)]
Seed 3185: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Hatterene(201/217)], P2=[Linoone(237/259)]
Seed 3206: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Tapu Fini(259/272)], P2=[Cottonee(198/232)]
Seed 3212: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Scrafty(247/255)], P2=[Foongus(123/184)]
Seed 3228: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Lucario(265/272)], P2=[Clefable(17/235)]
